week,ID,R,Y,G,W,P,M,plants,aphids_per_click,fungus_present,plants_no_growth,spider_contam,ptoid_contam,mummy_contam,aphids_extinct,ptoids_extinct,ptoids_added
6,10GP,0,0,171,2,21,8,4,5,0,1,0,0,0,0,0,0
6,11RYG,25,34,25,1,0,0,4,5,0,1,0,0,0,0,0,0
6,12RYGP,57,51,38,5,6,4,4,5,0,1,0,0,0,0,0,0
6,13RP,94,0,0,2,14,3,4,5,0,1,1,0,0,0,0,0
6,14YP,0,155,0,0,2,1,4,5,0,1,0,0,0,0,0,0
6,15GP,0,0,92,2,12,13,4,5,0,1,0,0,0,0,0,0
6,16RYG,61,62,45,0,0,0,4,5,0,1,0,0,0,0,0,0
6,17RYGP,35,22,21,0,0,1,4,5,0,1,0,0,0,0,0,0
6,18RP,246,0,0,8,3,7,4,5,0,1,0,0,0,0,0,0
6,19YP,0,217,0,0,7,3,4,5,0,1,0,0,0,0,0,0
6,20GP,0,0,106,1,7,4,4,5,0,1,0,0,0,0,0,0
6,21RYG,23,46,30,0,0,0,4,5,0,1,0,0,0,0,0,0
6,22RYGP,55,51,35,0,4,7,4,5,0,1,0,0,0,0,0,0
6,23RP,92,0,0,21,11,4,4,5,0,1,0,0,0,0,0,0
6,24YP,0,156,0,0,0,0,4,5,0,1,0,0,0,0,0,0
6,25GP,0,0,146,0,4,7,4,5,0,1,0,0,0,0,0,0
6,26RYG,51,40,38,3,0,0,4,5,0,1,0,6,18,0,0,0
6,27RYGP,45,31,44,2,0,0,4,5,0,1,0,0,0,0,0,0
6,28RP,79,0,0,1,5,0,4,5,0,1,0,0,0,0,0,0
6,29YP,0,151,0,0,0,0,4,5,0,1,0,0,0,0,0,0
6,30GP,0,0,127,0,4,2,4,5,0,1,0,0,0,0,0,0
7,1RYG,82,103,66,21,0,0,4,5,0,0,0,0,0,0,0,0
7,2RYGP,131,176,102,4,6,26,4,5,0,0,0,0,0,0,0,0
7,3RP,158,0,0,44,6,41,4,5,0,0,0,0,0,0,0,0
7,4YP,0,409,0,3,5,63,4,5,1,0,0,0,0,0,0,0
7,5GP,0,0,251,8,0,18,4,5,0,0,0,0,0,0,0,0
7,6RYG,79,103,55,12,0,0,4,5,0,0,0,0,1,0,0,0
7,7RYGP,132,276,85,15,40,271,4,1,0,0,0,0,0,0,0,0
7,8RP,111,0,0,57,43,230,4,5,0,0,0,0,0,0,0,0
7,9YP,0,262,0,0,4,73,4,5,0,0,0,0,0,0,0,0
7,10GP,0,0,199,26,6,133,4,5,0,0,0,0,0,0,0,0
7,11RYG,70,116,70,5,0,0,4,5,0,0,0,0,0,0,0,0
7,12RYGP,84,78,57,7,9,101,4,5,0,0,0,0,0,0,0,0
7,13RP,114,0,0,2,24,237,4,5,0,0,0,0,0,0,0,0
7,14YP,0,221,0,0,35,117,4,5,0,0,0,0,0,0,0,0
7,15GP,0,0,15,0,12,14,4,1,1,0,0,0,0,0,0,0
7,16RYG,120,180,114,6,0,0,4,5,0,0,0,0,0,0,0,0
